id_usuario,correo_electronico,contrasena,nombre,numero_movil,ubicacion,basura_papel,basura_plastico,basura_resto,basura_organico,basura_cristal,no_recicla,edad,genero,estado_civil,hijos,tipo_vivienda,nivel_estudios,profesion,creado_en,actualizado_en
1,esmeralda56@example.org,(&O&is9nF0,Reynaldo Bas Barón,+34 821405028,Barcelona,1,0,0,1,0,0,38,masculino,casado/casada,0,piso,bachillerato,comerciante,2021-11-05 00:00:00,2021-11-06 00:00:00
2,irmacolomer@example.net,%Hh2GwmI_q,Agapito Tomás Enríquez,+34972 023 198,Barcelona,1,1,0,0,1,0,25,masculino,soltero/soltera,0,piso,bachillerato,arquitecto/a,2021-04-21 00:00:00,2021-12-22 00:00:00
3,vbello@example.net,pIL(D7Aqei,Reinaldo Casal Escamilla,+34 822 241 471,Barcelona,1,0,0,0,0,0,24,masculino,soltero/soltera,0,piso,doctorado,programador/a,2021-02-10 00:00:00,2021-11-19 00:00:00
4,irmachico@example.net,@h$7QoyCFg,Héctor Castillo Lobato,+34722 87 88 94,Barcelona,1,1,0,0,1,0,19,masculino,soltero/soltera,0,loft,universidad(licenciatura/grado),programador/a,2021-07-14 00:00:00,2021-09-23 00:00:00
5,baltasarpeinado@example.org,%OBF_bhP$6,Fabiola Íngrid Catalá Caparrós,+34 954 61 93 02,Barcelona,1,1,0,1,0,0,41,masculino,soltero/soltera,0,piso,técnico o formación profesional,obrero/a,2021-12-19 00:00:00,2021-12-27 00:00:00
6,begona20@example.com,_9fjVNf#gc,Plácido Almansa-Rivera,+34925 575 526,Barcelona,1,1,0,1,1,0,55,femenino,casado/casada,0,piso,posgrado (maestría/máster),agricultor/a,2021-06-11 00:00:00,2021-08-04 00:00:00
7,roldanrebeca@example.org,X^(u9NxGkf,Pili Gálvez-Garzón,+34843 94 60 31,Barcelona,1,1,0,0,1,0,24,femenino,soltero/soltera,0,chalet,técnico o formación profesional,diseñador/a,2021-03-12 00:00:00,2021-11-27 00:00:00
8,candelariopelayo@example.org,)!HBJkla2b,Leocadia Villena Alemany,+34 735 632 416,Barcelona,1,1,0,0,1,0,38,masculino,casado/casada,1,piso,técnico o formación profesional,ingeniero/a,2021-10-11 00:00:00,2021-10-12 00:00:00
9,valencianoedgar@example.org,x*x%i4Ai@q,Mónica Mármol Bauzà,+34 947 42 11 40,Barcelona,1,0,1,1,1,0,26,femenino,soltero/soltera,0,piso,sin estudios,ingeniero/a,2021-09-14 00:00:00,2021-12-20 00:00:00
10,dechevarria@example.org,6fVEzo8M$N,Maximiliano Jaén Pavón,+34 945075819,Barcelona,0,1,0,1,1,0,33,masculino,casado/casada,0,piso,universidad(licenciatura/grado),abogado/a,2021-01-01 00:00:00,2021-11-03 00:00:00
11,saludllabres@example.net,#z@zy7Cwic,María Teresa Canals,+34826 74 92 75,Barcelona,1,0,1,1,1,0,25,masculino,soltero/soltera,0,apartamento,posgrado (maestría/máster),profesor/a,2021-09-06 00:00:00,2021-12-19 00:00:00
12,eugeniozabaleta@example.com,%row41Lbj5,Paulina Torrecilla Marí,+34824 22 86 82,Barcelona,0,1,0,0,1,0,32,femenino,casado/casada,0,chalet,universidad(licenciatura/grado),agricultor/a,2021-04-13 00:00:00,2021-09-19 00:00:00
13,imelda97@example.org,qt2aAwPe@5,Ángela Leal Salamanca,+34 845 895 454,Barcelona,1,1,1,0,0,0,24,masculino,soltero/soltera,0,piso,técnico o formación profesional,investigador/a,2021-04-23 00:00:00,2021-04-24 00:00:00
14,onogues@example.net,*j!V4RSv44,Pío Herrera Herranz,+34 888753717,Barcelona,0,1,1,1,0,0,19,masculino,soltero/soltera,0,piso,bachillerato,arquitecto/a,2021-10-20 00:00:00,2021-12-19 00:00:00
15,busquetsamaya@example.com,^4F6OmDYTk,Modesto Cordero Abad,+34839 11 91 91,Barcelona,1,1,0,1,0,0,27,femenino,soltero/soltera,0,apartamento,educación primaria,obrero/a,2021-11-27 00:00:00,2021-12-03 00:00:00
16,rociolosa@example.com,_8mD4RWqa&,Cebrián Beltrán-Hervás,+34843 770 291,Barcelona,0,1,0,0,1,0,31,masculino,casado/casada,0,piso,bachillerato,trabajador/a social,2021-08-15 00:00:00,2021-09-09 00:00:00
17,casasolimpia@example.net,i&12$Zv0Gg,Jacinto Lorenzo Marquez,+34924771479,Barcelona,0,1,1,1,1,0,60,masculino,viudo/viuda,3,piso,universidad(licenciatura/grado),médico/a,2021-03-26 00:00:00,2021-10-06 00:00:00
18,xiomara92@example.com,$Fdu9cLh@s,Emperatriz Aller Perea,+34 921 77 86 28,Barcelona,0,1,1,0,1,0,40,femenino,soltero/soltera,0,piso,doctorado,periodista,2021-10-05 00:00:00,2021-10-12 00:00:00
19,nvall@example.com,s2IFatzU$w,Agustina Pineda-Chaves,+34849749891,Barcelona,1,0,0,1,0,0,22,masculino,soltero/soltera,0,piso,educación primaria,diseñador/a,2021-07-26 00:00:00,2021-08-25 00:00:00
20,morena88@example.com,^uKUCBnH@5,Carolina de Ramón,+34 947 193 844,Barcelona,1,1,0,0,0,0,35,femenino,casado/casada,0,piso,bachillerato,ingeniero/a,2021-07-22 00:00:00,2021-08-24 00:00:00
21,barbajose-antonio@example.net,ly7YDOau!&,Ana Belén Avilés Silva,+34 868770127,Barcelona,1,1,1,0,0,0,29,masculino,soltero/soltera,0,piso,técnico o formación profesional,arquitecto/a,2021-06-28 00:00:00,2021-07-15 00:00:00
22,mariasosa@example.net,W&UEO3TgYu,Anselma Perales Portillo,+34 947 03 08 42,Barcelona,1,1,1,1,0,0,33,masculino,casado/casada,2,piso,universidad(licenciatura/grado),diseñador/a,2021-03-01 00:00:00,2021-04-24 00:00:00
23,mazafrancisco@example.com,qy3SspLzO&,Celestino Leonardo Prado Bru,+34946 77 71 93,Barcelona,1,0,0,0,0,0,39,femenino,casado/casada,1,chalet,universidad(licenciatura/grado),profesor/a,2021-11-21 00:00:00,2021-12-18 00:00:00
24,yjara@example.org,w*M3bHYql1,Cleto Tena Segura,+34983 056 457,Barcelona,1,0,0,1,0,0,22,femenino,soltero/soltera,0,piso,educación secundaria,otro,2021-03-18 00:00:00,2021-12-22 00:00:00
25,gponce@example.net,i2hGiyXQ_N,Ale del Cortés,+34 976 14 02 87,Barcelona,0,1,0,0,0,0,27,masculino,soltero/soltera,0,piso,bachillerato,administrativo/a,2021-07-01 00:00:00,2021-11-21 00:00:00
26,atilio31@example.net,pds&00D@K),Raquel Correa-Luque,+34 978 189 883,Barcelona,1,1,0,1,0,0,63,masculino,viudo/viuda,0,piso,posgrado (maestría/máster),estudiante,2021-12-09 00:00:00,2021-12-16 00:00:00
27,emperatriz17@example.com,+DuI2MktU$,Carlota Barrios Coloma,+34844 813 365,Barcelona,1,1,1,1,0,0,23,femenino,soltero/soltera,0,piso,universidad(licenciatura/grado),contador/a,2021-04-25 00:00:00,2021-05-01 00:00:00
